,curve_id,curve_type
0,801000,unmanaged
1,802000,unmanaged
2,803000,unmanaged
3,801001,unmanaged
4,802001,unmanaged
5,803001,unmanaged
6,801002,unmanaged
7,802002,unmanaged
8,803002,unmanaged
9,823002,managed
10,801003,unmanaged
11,821003,managed
12,802003,unmanaged
13,822003,managed
14,803003,unmanaged
15,823003,managed
16,801004,unmanaged
17,802004,unmanaged
18,803004,unmanaged
19,823004,managed
20,801005,unmanaged
21,802005,unmanaged
22,803005,unmanaged
23,823005,managed
24,801006,unmanaged
25,802006,unmanaged
26,803006,unmanaged
27,801007,unmanaged
28,802007,unmanaged
29,803007,unmanaged
30,801008,unmanaged
31,802008,unmanaged
32,803008,unmanaged
33,1601000,unmanaged
34,1602000,unmanaged
35,1603000,unmanaged
36,1623000,managed
37,1601001,unmanaged
38,1602001,unmanaged
39,1622001,managed
40,1603001,unmanaged
41,1623001,managed
42,1601002,unmanaged
43,1602002,unmanaged
44,1622002,managed
45,1603002,unmanaged
46,1623002,managed
47,1601003,unmanaged
48,1621003,managed
49,1602003,unmanaged
50,1622003,managed
51,1603003,unmanaged
52,1623003,managed
53,1601004,unmanaged
54,1602004,unmanaged
55,1622004,managed
56,1603004,unmanaged
57,1623004,managed
58,1601005,unmanaged
59,1602005,unmanaged
60,1603005,unmanaged
61,1601006,unmanaged
62,1602006,unmanaged
63,1603006,unmanaged
64,1623006,managed
65,1601007,unmanaged
66,1602007,unmanaged
67,1603007,unmanaged
68,1623007,managed
69,1601008,unmanaged
70,1621008,managed
71,1602008,unmanaged
72,1622008,managed
73,1603008,unmanaged
74,1623008,managed
75,1601009,unmanaged
76,1602009,unmanaged
77,1603009,unmanaged
78,1623009,managed
79,1601010,unmanaged
80,1621010,managed
81,1602010,unmanaged
82,1622010,managed
83,1603010,unmanaged
84,1623010,managed
85,1601011,unmanaged
86,1602011,unmanaged
87,1622011,managed
88,1603011,unmanaged
89,1623011,managed
90,2401000,unmanaged
91,2402000,unmanaged
92,2422000,managed
93,2403000,unmanaged
94,2423000,managed
95,2401001,unmanaged
96,2402001,unmanaged
97,2403001,unmanaged
98,2423001,managed
99,2401002,unmanaged
100,2421002,managed
101,2402002,unmanaged
102,2422002,managed
103,2403002,unmanaged
104,2423002,managed
105,2401003,unmanaged
106,2402003,unmanaged
107,2422003,managed
108,2403003,unmanaged
109,2423003,managed
110,2401004,unmanaged
111,2402004,unmanaged
112,2422004,managed
113,2403004,unmanaged
114,2423004,managed
115,2401005,unmanaged
116,2402005,unmanaged
117,2403005,unmanaged
118,2401006,unmanaged
119,2402006,unmanaged
120,2403006,unmanaged
121,2401007,unmanaged
122,2421007,managed
123,2402007,unmanaged
124,2422007,managed
125,2403007,unmanaged
126,2423007,managed
127,4001000,unmanaged
128,4002000,unmanaged
129,4003000,unmanaged
130,4001001,unmanaged
131,4021001,managed
132,4002001,unmanaged
133,4022001,managed
134,4003001,unmanaged
135,4023001,managed
136,4001002,unmanaged
137,4021002,managed
138,4002002,unmanaged
139,4022002,managed
140,4003002,unmanaged
141,4023002,managed
142,4001003,unmanaged
143,4021003,managed
144,4002003,unmanaged
145,4022003,managed
146,4003003,unmanaged
147,4023003,managed
148,4001004,unmanaged
149,4002004,unmanaged
150,4022004,managed
151,4003004,unmanaged
152,4023004,managed
153,4001005,unmanaged
154,4021005,managed
155,4002005,unmanaged
156,4022005,managed
157,4003005,unmanaged
158,4023005,managed
159,4001006,unmanaged
160,4002006,unmanaged
161,4003006,unmanaged
162,4023006,managed
163,4101000,unmanaged
164,4121000,managed
165,4102000,unmanaged
166,4122000,managed
167,4103000,unmanaged
168,4123000,managed
169,4101001,unmanaged
170,4102001,unmanaged
171,4103001,unmanaged
172,4101002,unmanaged
173,4121002,managed
174,4102002,unmanaged
175,4103002,unmanaged
176,4123002,managed
177,4101003,unmanaged
178,4121003,managed
179,4102003,unmanaged
180,4122003,managed
181,4103003,unmanaged
182,4123003,managed
183,4101004,unmanaged
184,4121004,managed
185,4102004,unmanaged
186,4122004,managed
187,4103004,unmanaged
188,4123004,managed
189,4101005,unmanaged
190,4102005,unmanaged
191,4122005,managed
192,4103005,unmanaged
193,4123005,managed
194,4101006,unmanaged
195,4121006,managed
196,4102006,unmanaged
197,4122006,managed
198,4103006,unmanaged
199,4123006,managed
200,4101007,unmanaged
201,4121007,managed
202,4102007,unmanaged
203,4122007,managed
204,4103007,unmanaged
205,4123007,managed
206,4101008,unmanaged
207,4121008,managed
208,4102008,unmanaged
209,4122008,managed
210,4103008,unmanaged
211,4123008,managed
212,4101009,unmanaged
213,4121009,managed
214,4102009,unmanaged
215,4122009,managed
216,4103009,unmanaged
217,4123009,managed
